ISO,Pentachlorophenol (PCP) Eco Toxicity Sea water,Lead and its compounds Eco Toxicity Sea water,Nickel and its compounds Eco Toxicity Sea water,Anthracene Eco Toxicity Sea water,Fluoranthene Eco Toxicity Sea water,Diuron Eco Toxicity Sea water,Cadmium and its compounds Eco Toxicity Sea water,Mercury and its compounds Eco Toxicity Sea water,Atrazine Eco Toxicity Sea water,Dichloromethane_methylenechloride (CH2Cl2) Eco Toxicity Sea water,"1,2-dichloroethane Eco Toxicity Sea water",Hexachlorobutadiene Eco Toxicity Sea water,"Tris (2,3-dibromopropyl) phosphate Eco Toxicity Sea water",Benzene Eco Toxicity Sea water,Naphthalene Eco Toxicity Sea water,Isoproturon Eco Toxicity Sea water,Trichlorobenzenes Eco Toxicity Sea water,Hexachlorocyclohexane Eco Toxicity Sea water,Pentachlorobenzene Eco Toxicity Sea water,Alachlor Eco Toxicity Sea water,Simazine Eco Toxicity Sea water,Brominated diphenylethers (PBDE) Eco Toxicity Sea water,Hexachlorobenzene Eco Toxicity Sea water,Trifluralin Eco Toxicity Sea water,Heptachlor Eco Toxicity Sea water,Tributyltin Compounds Eco Toxicity Sea water,Endosulfan Eco Toxicity Sea water,Chloropyrifos Eco Toxicity Sea water,n-nonylphenol (mixed isomers) Eco Toxicity Sea water,TrI-2-Chloroethyl phosphate Eco Toxicity Sea water
SSD,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
STP,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
SUR,54570.3144,407242.4027,450708.4394,788060.6976,404196.7968,6115.254282,10601027.12,705907.0364,14634.10797,15.48480367,16.12382697,52072.03174,6142.780333,46.03324213,26.75890373,11862.54895,1489.47191,175614.5192,166178.2477,12774.79623,13024.65772,0,573471.7112,362764.5384,492308.7187,35.46055972,1859411.619,6137312.566,16492.17818,101.7564972
SVK,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
SVN,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
SWE,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
SWZ,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
SYC,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
SYR,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
TCD,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
TGO,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
THA,54711.63371,408988.5578,447070.3729,796016.9081,405240.2617,6416.639687,10496752.32,724107.3543,15045.99829,16.00273659,16.7462685,51845.84488,6328.039028,48.74321402,34.70094514,12447.22047,1545.010789,177200.8708,166144.0434,13134.36974,13391.23565,0,577518.8264,365919.7895,495975.9374,41.68809747,1886448.137,6155669.58,17315.5897,#N/A
TJK,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
TKM,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
TTO,54570.3144,407242.4027,450708.4394,788060.6976,404196.7968,6115.254282,10601027.12,705907.0364,14634.10797,15.48480367,16.12382697,52072.03174,6142.780333,46.03324213,26.75890373,11862.54895,1489.47191,175614.5192,166178.2477,12774.79623,13024.65772,0,573471.7112,362764.5384,492308.7187,35.46055972,1859411.619,6137312.566,16492.17818,101.7564972
TUN,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
TUR,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
TZA,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
UGA,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
UKR,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
URY,54570.3144,407242.4027,450708.4394,788060.6976,404196.7968,6115.254282,10601027.12,705907.0364,14634.10797,15.48480367,16.12382697,52072.03174,6142.780333,46.03324213,26.75890373,11862.54895,1489.47191,175614.5192,166178.2477,12774.79623,13024.65772,0,573471.7112,362764.5384,492308.7187,35.46055972,1859411.619,6137312.566,16492.17818,101.7564972
USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZB,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
VEN,54570.3144,407242.4027,450708.4394,788060.6976,404196.7968,6115.254282,10601027.12,705907.0364,14634.10797,15.48480367,16.12382697,52072.03174,6142.780333,46.03324213,26.75890373,11862.54895,1489.47191,175614.5192,166178.2477,12774.79623,13024.65772,0,573471.7112,362764.5384,492308.7187,35.46055972,1859411.619,6137312.566,16492.17818,101.7564972
VNM,54711.63371,408988.5578,447070.3729,796016.9081,405240.2617,6416.639687,10496752.32,724107.3543,15045.99829,16.00273659,16.7462685,51845.84488,6328.039028,48.74321402,34.70094514,12447.22047,1545.010789,177200.8708,166144.0434,13134.36974,13391.23565,0,577518.8264,365919.7895,495975.9374,41.68809747,1886448.137,6155669.58,17315.5897,#N/A
VUT,54711.63371,408988.5578,447070.3729,796016.9081,405240.2617,6416.639687,10496752.32,724107.3543,15045.99829,16.00273659,16.7462685,51845.84488,6328.039028,48.74321402,34.70094514,12447.22047,1545.010789,177200.8708,166144.0434,13134.36974,13391.23565,0,577518.8264,365919.7895,495975.9374,41.68809747,1886448.137,6155669.58,17315.5897,#N/A
WSM,54711.63371,408988.5578,447070.3729,796016.9081,405240.2617,6416.639687,10496752.32,724107.3543,15045.99829,16.00273659,16.7462685,51845.84488,6328.039028,48.74321402,34.70094514,12447.22047,1545.010789,177200.8708,166144.0434,13134.36974,13391.23565,0,577518.8264,365919.7895,495975.9374,41.68809747,1886448.137,6155669.58,17315.5897,#N/A
YEM,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
ZAF,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
ZMB,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
ZWE,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
